system,dataset,train,category,gold,original_gold,characters,hit,hidden,raw_hidden,original_hidden,covered_characters
model:opf-ru,ameau01,False,logins,627,627,4692,544,542,481,481,4090
model:apararti,ameau01,False,contacts,141,141,2790,141,141,141,141,2790
model:apararti,ameau01,False,accounts,131,131,1108,118,114,103,103,979
model:apararti,ameau01,False,network,777,777,13053,310,276,263,263,3763
model:apararti,ameau01,False,addresses,184,184,1474,10,10,10,10,74
model:apararti,ameau01,False,names,382,382,4674,370,361,360,360,4472
model:apararti,ameau01,False,logins,627,627,4692,395,393,345,345,2945
model:pii-shield-onnx,ameau01,False,contacts,141,141,2790,137,131,126,126,2735
model:pii-shield-onnx,ameau01,False,accounts,131,131,1108,63,44,26,26,478
model:pii-shield-onnx,ameau01,False,network,777,777,13053,706,582,501,501,11531
model:pii-shield-onnx,ameau01,False,addresses,184,184,1474,33,33,29,29,270
model:pii-shield-onnx,ameau01,False,names,382,382,4674,262,151,122,122,2610
model:pii-shield-onnx,ameau01,False,logins,627,627,4692,118,108,64,64,1016
